"id","bairro","cep","email1","email2","logradouro","numero","telefone1","telefone2","uf"
"1","Centro","30100-000","contato@techsolucoes.com","suporte@techsolucoes.com","Rua da Tecnologia","100","31999990000","3133330000","MG"
"2","Bairro Novo","30200-000","contato@inovatec.com","suporte@inovatec.com","Av. da Inovação","200","31988887777","31988887778","MG"
"3","Centro","30300-000","contato@exemplomax.com","financeiro@exemplomax.com","Rua Exemplo","300","31977776666","31977776667","MG"
"4","Bairro Central","30400-000","contato@globaltech.com","suporte@globaltech.com","Av. Global","400","31966665555","31966665556","MG"
"5","Industrial","30500-000","contato@conctechnologia.com","vendas@conctechnologia.com","Rua dos Veículos","101","31991112222","31992223333","MG"
"6","Novo Horizonte","30600-000","contato@inovacar.com","vendas@inovacar.com","Av. Automóveis","202","31993334444","31994445555","MG"
"7","Comercial","30700-000","contato@excar.com","vendas@excar.com","Rua das Máquinas","303","31995556666","31996667777","MG"
"8","Centro","30800-000","contato@globalmotors.com","vendas@globalmotors.com","Av. Motorista","404","31997778888","31998889999","MG"
"9","Centro","30100-000","adm1@techsolucoes.com","contato@techsolucoes.com","Rua Central","10","31990001111","31990001112","MG"
"10","São Pedro","30200-000","adm2@alphatech.com","contato@alphatech.com","Av. Principal","20","31991112222","31991112223","MG"
"11","Industrial","30300-000","adm3@novatec.com","contato@novatec.com","Rua dos Engenheiros","30","31992223333","31992223334","MG"
"12","Tecnologia","30400-000","adm4@supersystem.com","contato@supersystem.com","Av. Sistemas","40","31993334444","31993334445","MG"
"13","Santa Efigênia","30130-100","ana.silva@email.com","ana.contato@email.com","Rua das Palmeiras","101","31980001111","31980001112","MG"
"14","Savassi","30140-001","bruno.souza@email.com","bruno.contato@email.com","Avenida Brasil","202","31980002222","31980002223","MG"
"15","Barro Preto","30170-090","carla.pereira@email.com","carla.contato@email.com","Rua Ouro Preto","303","31980003333","31980003334","MG"
"16","Centro","30120-010","daniel.moura@email.com","daniel.contato@email.com","Avenida dos Andradas","404","31980004444","31980004445","MG"
"17","Lourdes","30160-011","elaine.ferreira@email.com","elaine.contato@email.com","Rua da Bahia","505","31980005555","31980005556","MG"
"18","Funcionários","30130-003","felipe.alves@email.com","felipe.contato@email.com","Avenida Afonso Pena","606","31980006666","31980006667","MG"
"19","Carlos Prates","30710-100","gisele.martins@email.com","gisele.contato@email.com","Rua Timbiras","707","31980007777","31980007778","MG"
"20","Horto Florestal","31035-430","henrique.lima@email.com","henrique.contato@email.com","Rua do Comércio","808","31980008888","31980008889","MG"
"21","Nova Esperança","30560-100","lucas.costa@email.com","lucas.contato@email.com","Rua dos Girassóis","121","31980101111","31980101112","MG"
"22","Jardim América","30570-101","marina.ramos@email.com","marina.contato@email.com","Rua das Rosas","122","31980202222","31980202223","MG"
"23","Santa Tereza","31010-102","otavio.teixeira@email.com","otavio.contato@email.com","Rua Ipê Amarelo","123","31980303333","31980303334","MG"
"24","Anchieta","30150-103","paula.melo@email.com","paula.contato@email.com","Rua das Acácias","124","31980404444","31980404445","MG"
"25","Floresta","31030-200","rafael.santos@email.com","rafael.contato@email.com","Rua das Oliveiras","125","31980505555","31980505556","MG"
"26","Sagrada Família","31035-201","sabrina.campos@email.com","sabrina.contato@email.com","Rua dos Lírios","126","31980606666","31980606667","MG"
"27","Santa Amélia","31555-202","tiago.mendes@email.com","tiago.contato@email.com","Rua dos Pinheiros","127","31980707777","31980707778","MG"
"28","São Luiz","31260-203","vanessa.azevedo@email.com","vanessa.contato@email.com","Rua das Hortências","128","31980808888","31980808889","MG"
